Hours_Studied,Exam_Score,Parental_Involvement,Motivation_Level,Previous_Scores,Attendance,Access_to_Resources,Learning_Disabilities
20,63,Medium,Low,80,60,Medium,Yes
28,72,Low,Low,100,99,Medium,No
20,70,Medium,Low,99,95,Medium,No
23,71,Medium,Medium,99,96,Low,No
14,65,Low,Medium,77,86,Low,No
23,65,Medium,Low,66,74,Low,No
19,67,Low,High,78,96,Medium,No
26,68,High,High,81,72,Medium,No
27,70,Medium,Medium,66,83,Medium,No
36,70,Medium,Medium,82,64,Medium,No
23,72,Low,Low,81,97,High,No
22,65,Medium,Medium,95,66,High,No
21,65,Medium,High,62,69,Medium,No
18,71,High,High,85,82,Medium,No
22,74,High,Low,73,91,High,No
18,64,Low,Low,56,85,Medium,No
21,64,Medium,High,66,69,Medium,No
28,65,Medium,Low,53,60,High,No
14,67,Low,Medium,66,90,Medium,No
27,73,High,Low,53,99,Medium,No
28,72,Low,High,96,92,High,No
19,65,Medium,Low,55,78,Medium,No
7,67,Medium,Medium,91,96,High,No
16,66,Medium,Low,95,76,Medium,No
28,70,High,Low,73,81,Medium,No
20,66,High,Medium,53,79,Medium,No
14,66,High,Low,80,78,High,No
17,68,Medium,Low,62,91,Low,No
25,68,Low,Low,59,81,Medium,No
23,67,High,Low,78,73,High,No
19,65,High,High,68,70,Medium,No
18,64,Medium,Medium,87,62,Low,No
18,70,High,High,80,83,Medium,No
14,63,Low,Medium,91,69,Medium,No
30,65,Medium,Low,53,66,High,No
18,67,Low,Medium,62,86,Medium,Yes
27,71,Medium,Low,78,87,Medium,No
29,73,High,Medium,94,90,Medium,No
26,67,Medium,Low,91,80,Medium,No
17,72,High,Medium,84,96,Medium,No
22,71,Medium,High,79,97,Medium,No
20,72,Medium,High,82,92,High,No
15,68,High,Medium,61,85,High,No
22,65,Low,Medium,80,72,Low,No
13,68,High,Low,75,99,Medium,Yes
27,67,Medium,Medium,69,71,Low,No
17,66,Medium,High,94,68,Medium,No
21,64,Medium,Medium,91,78,Low,Yes
22,65,High,Medium,54,62,Medium,No
18,69,Medium,Medium,99,99,Medium,No
24,68,Medium,Medium,61,84,Medium,No
17,69,High,Medium,61,82,High,No
25,70,Medium,Low,97,86,Medium,No
12,65,High,Medium,72,80,Medium,Yes
21,63,Medium,Low,90,61,Medium,No
32,71,Low,Medium,64,84,Medium,No
14,68,Medium,Low,94,89,High,No
16,70,Medium,High,92,77,Medium,No
23,72,Medium,High,76,90,High,No
21,64,Medium,Medium,85,69,Medium,No
22,64,Low,Low,98,69,Medium,No
23,66,Medium,High,73,66,Low,No
24,69,Medium,High,75,75,High,No
27,71,Medium,Medium,86,94,Low,No
22,69,Medium,High,69,93,High,Yes
19,67,High,Low,98,75,Medium,No
24,66,Low,Medium,52,84,Medium,No
31,71,Medium,Medium,70,89,Medium,No
19,63,Medium,Low,86,70,Low,Yes
14,62,Medium,Medium,71,67,Low,No
27,73,Medium,Medium,63,99,High,No
19,66,High,Low,71,85,Medium,No
7,72,High,Medium,94,99,Medium,No
25,67,High,Low,77,74,Low,No
17,65,Low,Medium,67,88,Low,No
19,66,Medium,Medium,84,69,Medium,No
22,68,High,Low,81,70,Medium,No
21,69,Medium,Medium,78,80,High,No
24,68,High,Medium,70,73,Medium,No
17,61,Medium,Medium,54,67,High,No
23,68,High,Medium,81,71,Low,No
18,64,High,Low,71,61,Low,No
24,67,Medium,Low,71,88,Low,No
24,68,Low,High,62,80,High,No
14,61,Medium,Low,62,64,High,Yes
27,66,High,Low,89,67,Low,No
17,64,High,Low,74,64,Low,No
25,67,Low,Low,55,85,Medium,No
22,64,Medium,Low,52,64,High,No
31,72,High,Low,61,90,High,No
19,62,Medium,Low,74,61,Medium,No
18,63,High,Low,81,70,Medium,No
20,70,High,Low,57,96,High,No
18,69,High,Low,72,89,Medium,No
25,64,Low,Medium,54,63,Medium,No
10,66,Low,Medium,52,93,Medium,No
14,67,Low,Medium,93,80,Medium,No
14,71,High,Medium,83,94,High,Yes
26,70,Medium,Medium,89,84,High,No
30,69,Low,Medium,59,87,Medium,No
19,68,Medium,High,66,100,Low,No
19,64,Medium,Medium,72,69,High,No
20,70,High,Low,83,85,Medium,Yes
27,69,High,Medium,77,78,Low,No
14,63,Medium,Medium,78,62,Medium,No
21,60,Low,Medium,58,61,Medium,No
26,65,High,Medium,74,65,Low,No
23,67,Medium,Medium,91,86,Medium,No
21,66,Medium,Low,75,83,Low,No
26,68,Low,Medium,60,82,High,No
24,67,Low,Medium,88,79,High,No
16,68,Medium,Low,57,97,Medium,Yes
9,62,Medium,Medium,79,76,Medium,No
23,69,Low,High,98,85,High,No
28,73,Medium,High,69,91,High,No
19,66,High,Medium,52,91,Low,Yes
26,67,Low,Medium,82,81,Medium,Yes
30,71,Medium,Medium,52,94,Medium,No
28,66,Medium,Medium,60,76,Medium,No
30,74,High,Medium,52,96,Medium,No
24,67,Medium,Low,59,70,High,No
20,68,High,High,93,71,Medium,No
10,61,Medium,High,87,62,Medium,No
19,69,Medium,Medium,67,92,High,No
15,65,Low,Low,95,77,Medium,No
33,71,Medium,Medium,83,69,High,No
19,61,Medium,Medium,72,69,Low,No
21,70,Medium,Medium,53,96,High,No
23,70,Medium,Medium,87,93,Low,No
20,69,Medium,Low,69,82,High,No
30,70,High,High,65,85,Low,No
16,67,High,Medium,64,79,Medium,Yes
21,63,Low,Low,50,76,Medium,No
16,70,Medium,Medium,87,97,Medium,No
12,61,Medium,Medium,57,65,Medium,Yes
16,64,Low,Low,76,77,High,No
20,65,Medium,High,51,74,Medium,No
17,65,Medium,Medium,81,80,Medium,No
16,66,Medium,High,68,78,Low,No
12,66,High,Low,82,81,High,No
20,63,Low,Medium,54,66,Medium,No
11,66,Low,Medium,63,81,High,No
25,64,Medium,High,56,70,Medium,No
20,65,High,Medium,82,67,Low,Yes
11,62,High,Low,55,63,Medium,No
18,71,Low,High,81,91,High,No
15,63,Medium,Low,57,77,Medium,No
22,70,Medium,High,97,85,High,No
28,70,Medium,Low,71,89,Low,No
9,65,Medium,Medium,56,87,Medium,No
21,66,High,Medium,52,79,High,Yes
19,66,Medium,Medium,66,76,Low,No
24,68,Medium,High,95,75,Low,No
21,68,High,Medium,57,86,High,No
15,69,High,Medium,90,80,Medium,No
18,71,Medium,Medium,71,94,Medium,No
15,69,Medium,Low,90,95,Medium,No
26,68,Medium,Medium,94,67,High,No
20,67,Medium,Medium,100,65,High,No
31,72,High,Medium,53,85,Medium,No
20,68,High,High,90,72,Medium,No
16,60,High,Low,53,61,Medium,Yes
11,68,Medium,High,66,96,High,No
9,65,High,High,82,69,Medium,No
10,67,Low,High,72,97,High,No
22,70,Low,Low,78,89,Medium,No
23,70,Medium,High,98,91,Low,No
11,61,Medium,Low,91,68,Medium,No
25,68,High,Medium,68,69,Low,No
17,67,Medium,High,80,81,High,No
21,62,Medium,Medium,52,67,High,Yes
30,66,Medium,Medium,73,72,Low,No
25,69,High,Medium,80,73,Medium,No
18,66,Medium,Medium,86,66,High,No
15,64,Medium,Medium,95,68,Medium,No
7,66,High,High,64,92,Medium,No
16,63,Medium,Low,95,67,Medium,Yes
19,62,Low,Low,83,61,High,No
14,65,Medium,Low,54,85,Medium,No
19,68,Low,Low,69,99,High,No
20,65,High,Low,74,73,High,No
19,63,Medium,Low,68,65,High,No
16,68,High,Medium,56,83,High,No
21,72,Medium,Low,78,96,High,No
23,69,High,Medium,57,91,Low,No
13,66,Low,Low,96,85,Medium,No
28,68,Low,High,93,73,Low,No
19,64,Low,Medium,74,82,Low,No
20,61,Medium,Low,53,64,Low,No
24,67,Low,High,78,87,Medium,Yes
21,68,Medium,Medium,80,89,Low,No
26,74,Medium,High,94,99,Medium,No
22,67,Medium,Medium,53,70,High,No
16,64,Medium,Medium,85,61,High,No
22,69,Low,Medium,78,82,High,No
13,63,High,Medium,59,88,Medium,Yes
21,67,Medium,Medium,56,92,Medium,No
20,65,High,Medium,85,68,Medium,No
19,67,Medium,Medium,67,70,Medium,No
19,68,High,Medium,100,81,Medium,No
9,62,Medium,Medium,95,73,Low,No
17,70,High,Medium,78,94,Medium,No
21,67,Low,Medium,82,79,High,No
14,65,High,Low,95,83,Medium,Yes
28,69,Low,Medium,73,91,Medium,No
15,64,Medium,High,76,73,Medium,No
26,74,High,Medium,94,93,Low,No
23,64,Medium,Medium,50,71,High,No
16,64,Low,Medium,75,82,High,No
31,67,Medium,Medium,81,69,Low,No
13,63,Low,High,58,79,Low,No
26,68,High,Low,53,73,Medium,No
26,66,Low,Low,77,71,Medium,No
16,68,Low,High,77,99,High,Yes
28,68,Medium,Medium,67,66,High,No
18,69,Medium,Medium,94,91,Medium,No
22,71,High,Medium,65,99,Low,No
22,65,Low,Medium,76,61,High,No
19,67,Low,Medium,59,88,Medium,No
25,65,Medium,Medium,51,70,Medium,No
25,65,High,Medium,71,62,Medium,No
28,74,Medium,High,88,97,Medium,No
10,59,Medium,Low,72,60,Medium,No
26,69,Medium,Low,64,84,Medium,No
27,66,Medium,Medium,80,80,Low,Yes
13,66,Medium,Medium,69,95,Medium,Yes
18,65,High,Medium,62,63,High,No
13,67,High,Low,96,87,Medium,Yes
19,69,High,Low,77,87,High,No
18,68,Medium,High,60,87,Low,No
25,73,Medium,Medium,84,98,Medium,No
28,71,Low,Medium,90,93,High,Yes
28,67,High,Medium,88,62,Medium,Yes
17,67,Medium,Low,80,79,Medium,No
19,66,High,Medium,76,76,Low,No
10,63,Medium,Medium,89,72,Low,No
15,65,High,Medium,85,78,High,No
26,67,Medium,Medium,79,75,Low,No
30,69,Medium,Medium,83,77,Low,No
13,67,Medium,Medium,58,99,Medium,No
16,66,High,High,51,64,Medium,No
20,74,High,Low,97,97,High,No
22,69,High,Medium,97,79,Medium,No
15,66,Low,High,89,85,Medium,No
23,69,High,Low,69,93,Low,Yes
17,63,Medium,Low,58,74,Medium,No
20,65,Medium,Medium,68,77,Low,No
23,64,Low,Low,86,76,Medium,No
20,64,Low,High,67,75,Medium,No
17,69,Low,Low,90,97,High,No
19,73,High,Medium,84,93,High,No
19,62,Medium,High,81,64,Medium,Yes
18,62,Low,Low,97,64,Low,No
18,68,Medium,High,95,77,Medium,No
30,66,Medium,Low,86,64,Medium,No
23,68,Low,High,60,85,High,Yes
18,66,Low,Medium,97,66,High,No
24,69,Low,Low,61,81,Medium,No
18,62,Medium,Medium,69,60,Medium,No
27,68,Low,Medium,91,73,Medium,No
22,67,Medium,Low,60,87,Medium,No
19,65,Low,Medium,82,79,Medium,No
23,69,Low,Medium,73,99,Medium,No
11,67,Medium,High,81,95,Medium,No
13,64,Low,High,98,74,Low,No
13,62,Low,Medium,90,62,Medium,Yes
21,71,Medium,Low,65,94,Medium,Yes
30,72,Medium,Medium,53,96,High,No
33,74,High,Low,98,93,High,Yes
24,66,Low,Low,79,65,High,No
23,72,High,Medium,59,100,Low,No
9,65,High,Medium,81,70,Medium,No
17,67,High,High,52,89,Medium,No
15,70,Medium,High,59,96,High,No
16,62,High,Medium,82,69,Medium,Yes
19,66,Low,High,70,96,Low,No
17,65,Low,Medium,66,72,Medium,No
8,70,Low,High,83,99,High,Yes
24,69,High,Low,93,71,High,Yes
14,70,Medium,Low,84,98,Medium,No
21,66,High,Medium,73,62,High,No
32,73,Medium,Low,83,88,Low,No
14,69,High,Low,85,81,Medium,No
5,66,High,Low,89,79,High,No
18,65,High,Medium,65,69,Medium,No
27,70,Medium,High,56,88,Low,No
32,70,High,Medium,84,68,High,No
13,67,High,High,56,82,Medium,No
23,68,Medium,High,73,70,High,No
17,68,Medium,Low,62,98,Low,No
19,61,High,Medium,67,61,Medium,No
36,70,Medium,High,74,68,Medium,No
11,65,High,High,95,70,High,No
22,66,Low,Medium,84,77,Medium,No
23,67,Medium,Medium,59,69,Medium,No
27,69,Low,High,94,80,Low,No
21,69,Medium,Medium,75,95,High,No
22,67,Medium,Low,60,88,Medium,No
18,66,High,Medium,76,83,Low,No
22,63,Low,Medium,60,64,Medium,No
18,67,High,Low,68,88,Medium,No
24,64,High,Medium,90,67,Low,No
18,68,Medium,Medium,83,91,Low,No
22,65,Medium,Low,74,70,High,No
20,65,Medium,Medium,61,77,Low,No
27,65,Medium,High,64,74,Low,No
20,70,Low,Medium,99,94,Medium,No
9,62,Medium,Medium,67,65,High,No
28,68,High,Medium,81,83,Low,No
15,62,Low,Low,75,66,High,No
16,68,Medium,Medium,51,88,High,No
16,72,High,Medium,97,96,Medium,No
28,70,High,Low,54,77,Medium,No
7,62,High,Low,83,80,Medium,No
26,73,Medium,Medium,87,81,High,No
21,68,High,High,90,80,High,No
20,68,High,Low,87,83,Medium,No
22,69,Medium,Medium,72,88,Medium,No
23,63,Medium,High,95,64,Low,Yes
24,74,Medium,Medium,96,93,Medium,No
23,69,Medium,Medium,72,77,Medium,No
21,61,Medium,Medium,74,63,Low,No
19,69,Medium,Low,74,91,Low,Yes
19,64,Medium,High,64,75,Low,No
19,63,Medium,Low,56,64,Medium,No
27,68,Low,Low,63,85,High,No
24,72,High,Medium,92,95,Medium,No
2,65,Low,Medium,77,96,High,No
24,69,Low,Low,93,98,Low,No
21,70,Medium,Low,87,95,Low,No
20,63,Medium,Low,67,60,Medium,No
18,62,Low,Low,59,75,Medium,Yes
27,72,Medium,Low,78,93,Medium,No
26,69,High,Medium,97,75,High,No
15,66,Medium,Low,92,84,Medium,No
22,71,Medium,Medium,88,84,Medium,No
14,62,Low,Medium,88,75,Low,No
12,68,Medium,Medium,76,96,Low,No
16,63,High,Low,58,80,Low,No
25,66,Medium,Medium,64,79,Medium,No
26,75,High,High,79,100,Medium,No
23,69,Medium,High,66,80,Low,No
24,68,High,Medium,89,67,Medium,No
23,69,High,Medium,69,81,Medium,No
16,67,High,Medium,56,93,Low,No
23,73,High,Medium,89,91,Medium,No
25,71,Medium,Low,85,92,High,No
25,71,High,Medium,63,88,Medium,No
27,68,Medium,High,99,70,Medium,No
24,70,High,Medium,70,94,Low,No
22,71,Low,Low,84,96,High,No
26,69,Medium,High,96,68,High,No
20,63,High,Medium,58,65,Medium,No
15,71,Low,Medium,94,99,Medium,No
19,69,Medium,Medium,85,95,Medium,No
16,71,High,Medium,58,96,Medium,No
16,68,Medium,Low,83,95,Low,No
19,68,Medium,Medium,94,82,Medium,No
15,66,Medium,Medium,90,86,Low,No
18,67,Medium,Medium,88,82,Medium,No
9,59,Low,Low,58,62,High,No
21,66,Low,Medium,60,90,Medium,No
20,64,Low,Low,77,80,Low,No
15,64,Medium,Medium,79,86,Medium,Yes
24,69,Medium,Medium,97,80,High,No
26,69,High,High,73,80,Low,No
10,61,Medium,Medium,65,67,Medium,No
15,62,High,Medium,60,71,High,No
15,61,Low,Medium,53,66,Medium,No
14,63,Medium,High,53,68,Medium,No
25,71,Medium,Low,79,99,Low,No
19,65,High,Medium,59,66,High,No
18,68,High,Medium,93,71,High,No
8,67,High,Medium,80,84,High,No
24,70,Low,High,93,84,High,No
13,64,High,Medium,71,66,Medium,No
20,71,Medium,High,80,92,High,No
22,71,High,Low,76,91,Medium,No
28,67,Medium,Low,99,69,High,No
12,63,Medium,Medium,90,72,Low,No
2,66,Low,High,80,98,High,No
21,70,Medium,Medium,80,93,Low,No
31,70,Medium,Medium,62,88,Low,No
27,67,Low,Medium,87,63,Medium,No
21,69,Low,High,99,77,Medium,No
17,66,High,Low,56,82,Low,No
25,67,Medium,Medium,82,67,High,No
14,65,High,Medium,76,78,Medium,Yes
23,72,High,Medium,93,84,High,No
23,68,High,Medium,50,73,High,No
26,72,High,Low,57,91,Medium,No
22,65,Medium,Medium,58,73,Low,Yes
17,68,Low,Medium,85,94,Medium,No
20,65,Medium,Medium,57,64,Medium,No
9,66,Medium,Low,81,94,Medium,No
16,63,Low,Medium,93,66,Medium,No
18,63,Medium,Medium,52,63,Low,No
17,66,Medium,Medium,51,86,Medium,No
21,69,High,Medium,99,79,Low,No
15,72,Medium,High,84,96,High,No
27,66,Medium,Medium,57,75,Low,No
20,64,Medium,Medium,65,71,Medium,No
20,67,Medium,Low,99,80,Low,No
18,67,High,Low,61,78,High,No
21,66,Low,Medium,88,74,Medium,No
25,68,Medium,Low,62,88,Low,No
15,65,Medium,Medium,70,90,Medium,No
16,71,Medium,High,94,94,High,No
18,71,Medium,Medium,51,99,High,No
12,62,Medium,Medium,65,71,Medium,No
15,69,Medium,Low,74,89,High,No
17,65,Medium,Low,81,76,Low,No
25,70,High,Low,51,87,Low,No
22,66,Medium,Medium,71,79,Medium,No
21,70,Medium,Medium,67,100,Medium,No
25,70,Medium,Low,51,89,High,No
19,69,Low,Medium,68,98,High,No
22,71,High,Medium,97,93,Low,Yes
19,69,Medium,Medium,64,96,Medium,No
22,73,High,Medium,79,93,Medium,No
17,65,Medium,Low,65,78,Medium,No
5,62,High,Medium,55,70,High,No
19,67,Medium,Medium,64,75,High,No
29,65,Low,High,74,61,Medium,No
26,65,Low,Low,65,81,Medium,No
26,70,Medium,Medium,81,80,High,No
27,70,Medium,Low,97,81,Medium,No
21,71,Medium,Medium,53,99,High,No
21,71,High,Low,86,96,Low,No
16,62,Medium,Low,50,66,Medium,No
18,65,Medium,Medium,50,75,Low,No
27,68,Medium,Medium,74,74,Medium,No
19,70,High,Medium,52,92,Medium,No
17,68,Medium,Medium,86,81,High,No
20,67,Medium,Medium,51,83,Medium,No
24,69,Low,Low,75,94,Medium,No
11,68,High,Medium,84,92,High,No
6,59,High,Medium,62,65,High,No
17,67,High,Medium,79,89,Low,No
13,63,Medium,Low,63,77,High,No
17,65,High,Low,61,72,High,No
19,63,Medium,Low,91,62,Medium,No
17,64,Medium,Low,67,79,Medium,No
29,72,High,High,91,74,Medium,No
22,63,Low,High,61,70,Medium,No
22,66,Medium,Medium,68,88,Medium,Yes
24,67,Medium,Low,55,91,Medium,No
13,66,High,High,75,70,High,Yes
26,66,Medium,Medium,69,62,Medium,No
20,68,Medium,Low,50,94,Medium,Yes
24,66,High,Medium,73,60,High,No
14,68,Medium,Medium,54,97,Medium,No
11,65,Medium,Low,92,85,Medium,No
25,67,Medium,Low,75,73,Medium,No
22,64,High,Medium,85,70,Low,No
15,59,Low,Low,91,60,High,No
15,60,Medium,Low,53,69,Medium,No
27,65,Low,Low,67,66,High,No
13,64,Medium,High,51,84,Medium,No
30,66,Medium,Medium,52,67,High,No
15,65,Medium,Medium,52,81,Medium,No
24,69,Medium,Medium,74,84,Medium,No
18,66,High,Medium,73,72,High,Yes
24,65,High,Medium,53,61,Medium,No
17,62,High,Low,63,61,Medium,No
19,60,Medium,Medium,62,61,Low,No
20,68,Low,Low,65,90,Medium,No
14,64,Medium,Medium,82,73,High,No
24,73,High,High,85,92,High,No
17,64,Medium,Low,67,77,Medium,No
19,69,High,Medium,89,78,High,No
14,63,Low,Low,71,81,Medium,Yes
5,65,Medium,High,76,89,Medium,No
19,65,Medium,Medium,57,71,Medium,No
34,67,Medium,High,62,65,Medium,No
25,67,Medium,Medium,86,82,Medium,No
20,66,Medium,Low,99,73,Medium,No
18,68,Medium,High,85,78,High,No
20,65,Medium,Medium,53,86,Low,No
23,66,Low,Medium,57,80,Low,No
13,66,High,Medium,72,85,Low,No
27,69,Medium,Low,87,82,Medium,No
24,70,Medium,Medium,58,90,Medium,No
24,71,Medium,Medium,88,88,Low,No
23,70,High,High,78,81,Medium,No
20,68,Medium,Low,89,87,Medium,No
24,73,High,Medium,78,95,High,No
24,68,Medium,High,80,77,High,Yes
18,66,Medium,Low,62,77,Medium,No
17,67,Medium,Low,86,91,Low,Yes
21,66,Medium,Low,92,83,Low,Yes
29,69,Medium,Medium,94,63,High,No
13,67,Medium,Medium,51,96,Medium,No
11,61,Medium,High,81,61,Low,Yes
21,70,Medium,Medium,99,90,Medium,No
20,70,High,Medium,79,90,High,No
21,70,Medium,High,59,98,Medium,Yes
21,64,Medium,Low,94,62,Medium,No
19,65,High,Medium,63,84,Medium,No
29,70,Medium,Medium,52,77,Medium,No
10,62,Low,Low,72,73,High,No
15,64,High,High,55,64,High,No
19,67,Medium,Medium,56,83,High,No
10,63,High,High,73,79,Medium,No
19,62,Low,High,81,64,Medium,Yes
30,72,Low,Medium,95,84,Medium,No
20,69,Low,High,85,90,Medium,No
21,72,Medium,Medium,92,91,High,No
12,68,Low,High,71,96,Medium,No
16,64,Low,Low,66,76,Medium,No
18,72,High,Low,80,98,High,No
18,73,High,Low,85,95,High,No
28,67,High,Low,78,72,Medium,No
23,64,High,Medium,63,66,Low,No
13,65,Medium,Low,68,77,Medium,No
21,67,High,Low,72,76,High,No
23,68,Medium,Low,51,83,Medium,No
27,72,Medium,Medium,94,83,High,No
29,71,High,Low,76,90,Low,No
14,66,Medium,Medium,88,80,Medium,No
15,59,High,Low,59,64,Medium,Yes
12,68,Medium,Medium,78,94,Medium,No
19,64,Low,Low,96,72,High,No
23,70,Low,Low,61,99,Medium,Yes
26,65,Low,Medium,67,65,Medium,No
20,72,High,High,69,98,Medium,No
18,66,High,Medium,69,64,High,No
21,68,Medium,High,80,69,Medium,No
15,62,Medium,Medium,70,62,High,No
33,70,Medium,Medium,84,88,Low,No
10,70,High,High,74,94,Medium,No
21,64,Medium,Medium,58,77,Low,No
20,67,Medium,High,62,84,Medium,No
19,69,High,Low,78,85,High,No
18,68,Medium,Medium,53,94,Low,No
19,67,Medium,Low,96,72,Medium,No
28,69,Medium,Low,96,74,Medium,No
7,67,High,Medium,68,96,Medium,No
29,73,High,Low,56,96,High,No
11,71,Medium,High,88,99,High,No
18,70,Medium,Medium,63,96,Low,No
17,65,High,Medium,85,65,Medium,No
24,73,High,Medium,96,93,Medium,No
10,65,Medium,Medium,80,76,Medium,No
23,73,Low,Medium,93,100,Medium,No
32,70,Low,Medium,61,79,High,No
12,66,High,High,96,82,Medium,Yes
21,66,Low,High,61,81,Medium,No
16,64,Medium,Low,61,73,Medium,No
23,68,Medium,High,94,63,Medium,No
20,70,Medium,Medium,78,96,Medium,No
16,72,Medium,High,90,92,Medium,No
23,66,Medium,Medium,90,66,High,No
31,74,Medium,Medium,82,91,Medium,No
19,67,High,Low,59,85,Medium,No
24,71,High,Medium,85,76,High,No
12,60,Low,Medium,53,70,High,Yes
14,68,Low,Medium,60,94,Medium,No
23,69,Medium,Medium,82,88,Medium,No
29,74,High,Medium,95,82,High,No
22,71,High,Medium,89,84,Medium,No
18,63,High,High,67,64,Medium,No
20,66,High,High,91,79,Low,Yes
12,65,Medium,Medium,98,68,High,No
24,60,Low,High,67,68,Low,Yes
25,69,Medium,Medium,59,86,Low,No
17,69,High,Medium,60,96,Medium,No
17,67,Medium,Low,70,76,High,No
22,65,High,High,53,68,Medium,No
17,70,High,Medium,74,86,High,No
20,71,High,Low,87,95,Medium,No
33,73,Low,Medium,77,90,Medium,Yes
19,70,Low,Medium,99,95,High,No
18,67,High,High,73,81,Low,No
16,67,Low,Medium,51,90,High,No
24,65,Low,Medium,74,66,High,No
19,69,High,Medium,96,74,High,No
16,65,High,Medium,55,76,High,No
28,68,Medium,Low,61,80,High,No
29,74,High,Medium,86,97,Medium,No
16,68,Low,High,65,95,Medium,No
9,61,Medium,Low,88,65,Medium,No
26,67,Medium,High,71,67,Low,No
16,66,High,Medium,90,74,High,Yes
25,69,Low,Low,78,72,Low,No
8,62,Medium,Low,54,85,Low,No
25,71,Medium,Low,69,96,High,No
13,71,High,Medium,67,98,High,No
24,72,Medium,Low,91,86,High,No
20,69,Medium,Low,81,94,High,Yes
14,67,Low,Medium,89,81,Medium,No
18,63,Medium,Medium,69,68,High,Yes
24,68,Medium,Medium,85,81,Medium,No
21,69,High,Low,53,82,High,No
24,65,Medium,Low,52,90,Low,Yes
32,70,High,Medium,64,69,High,No
11,65,Medium,Medium,89,75,Medium,No
30,67,Medium,Medium,77,75,Medium,No
21,72,Medium,Medium,70,98,High,No
15,69,Medium,High,95,78,High,No
12,69,High,Low,75,90,High,No
19,71,High,Medium,81,90,Low,Yes
26,67,Medium,Medium,99,71,Low,No
19,65,Low,Low,76,83,Low,No
29,70,Low,Medium,89,96,Low,No
11,63,Medium,Low,71,79,Medium,No
20,71,High,Medium,52,98,High,No
12,64,High,Low,92,69,Medium,No
22,69,Medium,High,97,63,High,No
25,69,Low,Low,72,96,Medium,No
17,70,Medium,Medium,75,94,Medium,No
4,64,High,Low,71,100,Low,No
21,70,Medium,Low,100,87,High,No
23,74,Medium,Medium,95,97,High,No
22,69,Medium,Medium,52,93,Medium,No
27,73,Low,Medium,89,94,Medium,No
14,66,Medium,Medium,80,83,Medium,Yes
24,67,High,High,51,75,High,No
9,61,Medium,Low,57,77,Medium,No
22,68,Low,High,94,82,Medium,No
17,63,Medium,High,51,78,Low,No
20,67,High,Medium,94,83,Low,No
22,66,Low,Low,97,79,Low,No
17,62,High,Low,54,62,Low,No
16,69,High,Medium,86,95,Low,No
20,67,Medium,Medium,77,78,Medium,No
13,66,Medium,Low,98,84,Medium,No
13,63,High,Medium,90,66,Medium,Yes
24,64,Medium,Low,85,60,Medium,No
13,64,Low,High,96,70,Medium,No
24,67,Low,Medium,58,88,Medium,No
23,66,Low,High,69,64,Medium,No
10,68,High,Medium,92,96,High,No
16,62,Medium,Medium,55,69,High,No
27,68,Medium,Low,97,68,Medium,No
14,63,High,Medium,87,67,Low,No
17,62,Medium,Low,72,61,High,No
23,72,High,High,67,91,High,No
25,69,Medium,Low,57,95,Low,No
18,67,Medium,High,55,85,Low,No
16,65,Medium,Medium,71,68,High,No
29,69,High,Low,92,71,Medium,No
30,72,High,Medium,77,79,High,No
26,70,Low,Medium,73,98,Medium,No
15,65,High,Low,58,89,Low,No
15,62,Low,Low,100,78,Medium,Yes
23,65,Low,Medium,51,72,High,No
23,67,Medium,Medium,66,78,Medium,No
28,67,Medium,High,88,63,Low,No
24,72,Medium,Medium,76,92,High,No
11,60,Medium,Low,66,70,Low,No
26,69,Medium,Low,100,89,Low,No
14,61,Medium,Low,81,63,Medium,No
18,70,Low,Medium,65,98,Medium,No
22,68,Medium,High,92,68,High,No
32,75,Medium,Medium,58,95,High,No
39,75,Medium,Medium,73,92,Medium,No
24,72,High,Low,92,99,Medium,No
19,66,Low,High,99,79,Medium,No
23,71,Low,Low,69,89,High,No
25,70,Low,High,57,75,High,No
18,63,Medium,Low,78,67,High,Yes
31,72,High,Low,97,78,High,No
21,65,Medium,Medium,83,67,Medium,No
23,71,Medium,Low,80,99,Medium,No
24,65,Medium,Medium,65,64,Medium,No
23,69,Medium,Medium,80,84,Low,No
25,71,Medium,Medium,94,85,Low,No
16,68,Medium,Medium,69,82,High,No
17,66,Low,Low,62,86,Medium,No
13,60,High,Low,74,65,Medium,Yes
23,68,Medium,Medium,69,82,Medium,No
25,67,Medium,Medium,73,71,High,No
23,71,Medium,Medium,55,98,Low,No
30,74,High,High,67,90,Medium,No
20,70,Low,Medium,91,99,Medium,No
24,63,Low,Low,70,62,High,No
13,64,Medium,Medium,98,71,Medium,No
18,66,Medium,High,85,68,High,No
24,64,Medium,Medium,68,60,Medium,No
25,69,High,Medium,63,70,High,No
18,71,Medium,Medium,84,87,High,No
20,64,High,Medium,65,69,Medium,No
11,65,Medium,Low,96,80,Medium,No
18,69,High,Low,56,96,Medium,No
25,68,Medium,Medium,51,88,High,No
23,68,Medium,Medium,61,76,Medium,No
23,68,High,High,80,75,Medium,No
20,65,Low,Low,92,78,Medium,No
20,65,High,Low,59,67,High,No
16,66,Medium,Low,79,85,Low,No
24,66,High,Medium,57,75,Low,No
23,71,Medium,Medium,78,94,Low,No
23,68,High,Medium,51,90,Medium,No
17,65,Low,Low,78,84,Medium,Yes
7,63,Medium,Medium,76,75,High,No
27,66,High,Medium,52,68,Medium,No
17,71,High,Medium,84,91,Low,Yes
15,65,Low,Medium,79,79,Medium,No
